trader,num_return_days,avg_equity,max_net_deposit,is_kept,pos_day_ratio,avg_gain,avg_loss,payoff_ratio,mean_return,std_return,skew_return,kurtosis_excess,p1_return,p5_return,p95_return,p99_return,tail_avg_5pct,max_drawdown_synth,worst_5d_return,worst_10d_return,acf1_return,acf1_abs_return,ret_prev_equity_corr,mean_return_big_equity,mean_return_small_equity,num_active_days,active_day_ratio,max_gap_calendar_days
0x1d1c02acc8172ccc2a1013dc6bf0b7b74b5217a4,1,10002.9911420000,13320.7600000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,0.0000000000,,0,0.0000000000,0
0x1d2a3b568e82678f22df040485b8cc006f3d0ea6,172,214022.2940850462,386741.9200000000,1,0.5174418605,0.0881332527,-0.0760584852,1.1587563493,0.0089011931,0.1105870248,0.1494957182,0.4563919161,-0.2968262235,-0.1533936645,0.2178987878,0.2800140186,-0.2262767897,0.5890157788,-0.4405622400,-0.6720221228,-0.0766781550,0.0632556221,-0.0734734250,0.0090526855,0.0087461362,172,1.0000000000,6
0x1d2bffa355f617b43af09f742c4f58e66ec0a439,2,2338.2827863333,2080.9200000000,0,1.0000000000,0.0144151765,,,0.0144151765,0.0029964387,,,0.0122963744,0.0122963744,0.0122963744,0.0122963744,0.0122963744,0.0000000000,,,0.0000000000,0.0000000000,1.0000000000,0.0144151765,,2,1.0000000000,1
0x1d34b0720df49e1bf9cd14e285d1603c80f69d17,85,1696.7011280581,1200.0000000000,1,0.0235294118,0.7963510098,-0.0000746248,10671.3989163120,0.0187367929,0.1254257018,6.8380889527,46.8191762210,-0.0000746248,0.0000000000,0.0000000000,0.5927020197,-0.0000186562,0.0000746248,-0.0000746248,-0.0000746248,-0.0228566974,-0.0228610795,-0.4058473961,0.0000000000,0.0612548998,3,0.0352941176,46
0x1d3c4eea28436038d86da7a394490cc9be61c8cf,46,7972.0800000000,7372.2100000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,1
0x1d7572c57cd347d52a528963ced066bac626b7fa,136,4768.0934154307,2500.0000000000,1,0.4926470588,0.0207695819,-0.0149925856,1.3853235503,0.0026255410,0.0451709716,6.4327012352,61.8824851386,-0.0615394439,-0.0443110912,0.0395855199,0.0734288992,-0.0670550233,0.3176608779,-0.1897875609,-0.2262264467,0.0866047826,0.2340030295,-0.1396563665,0.0003644834,0.0049540930,136,1.0000000000,28
0x1db7d2cea9c32eb9ac4ec6a0c8b43dc1bdaa941d,51,1906.4279245283,1348.9700000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,1
0x1dfecb1a698638734a23308ea4ea1db89e6512b9,40,1452.1362753171,4222.0800000000,0,0.0250000000,0.1041974520,,,0.0026049363,0.0164750637,6.0083275543,34.0750000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0263157895,-0.0263157895,0.0704701573,0.0026049363,,1,0.0250000000,6
0x1e32ab6deb18952c6625e6e65628bb49b5d0a768,97,2823.9160385918,1899.7200000000,1,0.5876288660,0.0730962522,-0.0618275241,1.1822607045,0.0174575816,0.1012717734,1.5400929469,6.7518233917,-0.2016809156,-0.1367720244,0.1604897284,0.3121930160,-0.1709766159,0.3401287772,-0.3849198891,-0.3250761900,-0.0125391148,0.2116524763,-0.1571311771,0.0017711855,0.0334707775,97,1.0000000000,8
0x1e42a19a65dbbe4f246a34245ff8638f71980035,27,1593.3807671786,1578.9000000000,0,0.8518518519,0.0007142660,-0.0002723870,2.6222476645,0.0005680952,0.0008088375,1.5611094393,2.7861300160,-0.0004629072,-0.0004544046,0.0013739895,0.0019740501,-0.0004629072,0.0004629072,0.0007567876,0.0018378825,-0.1582758032,-0.1739983725,-0.3452258592,0.0002509112,0.0009096780,26,0.9629629630,1
0x1e771e1b95c86491299d6e2a5c3b3842d03b552e,172,2904355.5352958902,909442.1100000000,1,0.5523255814,0.0263955993,-0.0203087336,1.2997166559,0.0054872642,0.0490490569,2.1619867956,19.0392024189,-0.1680616455,-0.0340609670,0.0512439093,0.1905809964,-0.0868793151,0.2335064073,-0.1766242484,-0.1546504523,-0.2702748576,0.3084501599,-0.1370460343,0.0012334871,0.0098411303,172,1.0000000000,6
