trader,cluster
0x332969b2951974fea82338ae410593ecaf98a4d0,11
0x335f45392f8d87745aaae68f5c192849afd9b60e,9
0x33821578405bd53f0eed2895496922b528d95e21,-1
0x339af484e526381d68e7535ba9ebcc5f2c42165b,16
0x33c3b8bcd758f511b350374a63e1f880f40e0282,2
0x33d8cdd8f2b66bf2fdcd7b1a84d047cea6642f80,4
0x34827044cbd4b808fc1b189fce9f50e6dafae7c9,-1
0x3490d181da18c9481e40d114dc20720dfd1955de,4
0x34f10e1397b67cc9dd5b0bbf60b022259e4d90aa,-1
0x3517a48fcfad0480c7d7666d4ec54edc6d9a5559,-1
0x351c53e98121aedb253b2e361ac6fd8d0b05165b,8
0x353bd2e5da5f01707dfad0dd86907561ac66cc38,-1
0x354d25bb83cdaad837853edf5a8395833a81b93a,3
0x35d1151ef1aab579cbb3109e69fa82f94ff5acb1,0
0x35f739c2278ca5e0763189b0e914fce2741c8f29,-1
0x36230634f730c256b88d238988e2e65223734f4e,-1
0x362c5006ed0a405c35df4a138cb38d891f1a1a20,12
0x365e0c115f1ca1adcb42fd21142873493df7f880,18
0x3668811b5b0966d1891c47cac0ef8615e3381ca9,-1
0x3695fb3cfabd87d3b78fa3c55ccfbfa24b34481c,-1
0x369daedbefcb30b82154338c8fd613a70c60d251,-1
0x37283486c96d2b9690cb9296292e6e354ceffb4b,-1
0x375155cebe185bec39238de94e079838c09d84f8,23
0x379f7504898f834b83e20f601477a08ad29a296a,9
0x37c1e493c8a452ab3f5a6d01fda87795b91e7851,-1
0x37cdea0c9af695a5629a75e28a20724a98147918,-1
0x37dc4d2c58c63a296f720e6ebf1419e83d74a4b3,6
0x37de2f99bf85ebc078cfcfe6bbc6b58f5d8c0b65,3
0x38160dc5b34ced1307ea5703802b32ef6f70b9a7,-1
0x386638d449ed54b861f006826d0c419bf494910b,-1
0x386eb74c3b9844648b365c7c59de8104f869173b,10
0x387c6f0718b20260dbd61d428566be5c7b2b0c19,-1
0x3895d155b005191686476a39580d43258a518e46,13
0x38ac9012a1be7bebd73d497d803f302fe274cda2,-1
0x38f6b8f24a984b98146086ae74dfbbf862de76e7,15
0x3966b0b9cdc41eb44dba2fce775c1b5d2248b1eb,-1
0x3980be8a221d45eb9cba07a93bcf74f1a1ee9c62,-1
0x39868ccaad5a8883d53be4281fc9c74ca06ebf8c,5
0x3998ad17e3fd11f60c24cd3d8b6552a4eb4ff3f6,9
0x3a1191221d6cf7584fa220378b1d911c5a051f95,3
0x3a122449de235a40481689442271c0731b805d69,-1
0x3a2c2b2792ee39c0a8c412531607719435b18a32,-1
0x3a6747c8e913085e243a2c22d188dafa8c6a612a,13
0x3a9953003034c9d4f512e91f7dbc0e0698142a5f,4
0x3aec1659ddb1f2ff7b9acf786bd65fb69fd78742,-1
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,-1
0x3be3a8613dc18554a73773a5bfb8e9819d360dc0,-1
0x3c0e813045a321155e9baf4d39ef35c881eced75,10
0x3c165893deaaf04ac79f4f959594747b6ef77e92,5
0x3c16fc881bbbde5771e9026fc888bf5493e3b4b1,-1
0x3ca32dd3666ed1b69e86b86b420b058caa8c1aaf,-1
0x3d0a30a158a92abc41609337c2f68f04926778ca,-1
0x3d21e3d9af7ca1d76305c9eb2fb510b7af920659,-1
0x3d6184223dd0d5239947793746faec00b63ae990,-1
0x3dac271d1b36a434880c527a678b6487ac9c1f8c,21
0x3dcf345bfadb9961305ed5ff535d31f313d52ad0,-1
0x3dd7cac1a7bc4b8c40af140e18dbfdcfb9e73a62,15
0x3e0a05c7254ffd8eb2e75adc89ad785c67ed2f62,20
0x3e54b5ebc95c0fcc1b059207576cbaa7b0db1c6c,1
0x3e5dacb70247b57aca1d62b927c398ff05b7e570,-1
0x3e6c5926f682b372c0a916a5c245ecd7ea8b9d8c,-1
0x3e6fc92d4edcd1156fe211eb4d3aec1bae2922af,5
0x3f3801e032d4768dcd61c48efde9c00708f60159,-1
0x3f8793d2a0ec69f0bae47140886039a4dc63a960,-1
0x3faf35a220e0d6a3bc3cce4ca54454aba68cfd6a,11
0x3fc56e944aa7b1594c85861b2d46a07f82a2c0c1,22
0x3ffe084d89a2d7c5981fbb8313204c708300ab70,20
0x404a68af7d1afe9a3fa37ffa9c515b266938f721,11
0x406073860818ecfb7dca0706a6bac73faa95bd3e,-1
0x4073d6343f9658dfaa765a0f17fc7e23e38f7a0e,-1
0x40b9d20b782635c1257efdb47fb830e677f4bdd6,20
0x40ba8c738819054d5d44e7fa139344d721e54e40,-1
0x40dc0fa2553e8a97e56f39d595b2753eacfe91f1,-1
0x40e494cdd7f6ee95449e06a74b767fb93c3623c5,-1
0x40f565826fdda5c2f8f174fdb51cf4d5b516fd75,13
0x40f6b6909659d3c76413e613fa8a2c5100bca864,-1
0x422f1f07f40f11bac71db4f520dd0ea1ff20f2c4,22
0x426c1520e4d07f968d224886878646412d37ad95,10
0x42982dafd5577db35255bb1dab0b288464844de1,3
0x42fd5648cf21c158d15e4f58785760755b3f6623,18
